_id,Operating Name,Category,Issued,Licence Address Line 1,city_std,latitude,longitude
73,ON-TIME TAXI,TAXICAB BROKER,2014-04-04,"1941 WESTON RD, #206",TORONTO,,
74,CLICK,TAXICAB BROKER,2014-06-11,"2460 WESTON RD, #2406",TORONTO,,
75,HAILO NETWORK CANADA,TAXICAB BROKER,2013-08-20,219 QUEEN ST E,TORONTO,,
76,E CAB CALLER,TAXICAB BROKER,2014-12-03,"160 CENTENNIAL PKY N, #1",,,
77,GOTAXIGO,TAXICAB BROKER,2014-06-24,206 RIVER ST,TORONTO,,
78,SMART TAXI,TAXICAB BROKER,2013-08-29,"40 WYNFORD DR, #106",TORONTO,,
79,ECO TAXI,TAXICAB BROKER,2009-11-26,27 SAUNDERS AVE,TORONTO,43.64094235021274,-79.44105991892141
80,24-7 TAXI,TAXICAB BROKER,2015-12-17,"420 BRITANNIA RD E, #204",MISSISSAUGA,,
81,ABC TAXI,TAXICAB BROKER,2011-01-19,"2163 LAWRENCE AVE E, C",TORONTO,,
82,ROYAL TAXI,TAXICAB BROKER,2000-03-03,"620 WILSON AVE, #100",TORONTO,,
83,A TORONTO TAXI,TAXICAB BROKER,2002-07-26,75 CROCKFORD BLVD,TORONTO,,
84,QUICK TIME TAXI SERVICS,TAXICAB BROKER,2014-05-17,91 SOUTHLAKE BLVD,,,
85,UBER CANADA,TAXICAB BROKER,2016-01-22,"1209 KING ST W, #200",TORONTO,,
86,ECO TAXI,TAXICAB BROKER,2017-03-30,27 SAUNDERS AVE,TORONTO,43.64094235021274,-79.44105991892141
87,MAPLE LEAF TAXI-CAB,TAXICAB BROKER,2013-02-25,"40 WYNFORD DR, #106",TORONTO,,
88,IMPERIAL TAXI,TAXICAB BROKER,2013-02-25,"40 WYNFORD DR, #106",TORONTO,,
89,DIAMOND TAXICAB,TAXICAB BROKER,2057-01-01,"789 WARDEN AVE, #6",TORONTO,,
90,FLASH TAXI,TAXICAB BROKER,2013-12-19,55 CROCKFORD BLVD,TORONTO,,
91,AKREM TAXI,TAXICAB BROKER,2015-01-22,234 PARLIAMENT ST,TORONTO,,
92,SWIFT6,TAXICAB BROKER,2019-04-16,377 BERING AVE,TORONTO,43.63688753133903,-79.53244255919999
93,EXPRESS AMBASSADOR TAXI,TAXICAB BROKER,2003-11-03,"168A OAKDALE RD, #6C",TORONTO,,
94,ACTIVE RIDE TAXI,TAXICAB BROKER,2019-11-25,25 MUSGRAVE ST,TORONTO,,
95,2569220 ONTARIO,TAXICAB BROKER,2020-01-09,42 WOODLOT CRES,TORONTO,,
96,KING CAB SERVICE,TAXICAB BROKER,2008-01-15,"789 WARDEN AVE, #9",TORONTO,,
97,SWIFT SIX,TAXICAB BROKER,2016-01-08,5406 BIMINI CRT,MISSISSAUGA,,
98,GADAA ACCESSIBLE TAXI,TAXICAB BROKER,2020-01-08,10 TOWER DR,TORONTO,,
99,AAA BEST CHOICE TAXI,TAXICAB BROKER,2012-01-24,34 KELFIELD ST,TORONTO,43.6880429977091,-79.5761038269524
100,EAGLES TAXI COMPANY OF TORONTO,TAXICAB BROKER,2005-02-15,"3078 LAKE SHORE BLVD W, #206",TORONTO,,
101,PREMIER TAXI SERVICES,TAXICAB BROKER,2014-02-20,"1092 DANFORTH AVE, #6",TORONTO,,
102,ABLE ATLANTIC TAXI\BEELINE TAXI,TAXICAB BROKER,2014-03-07,"40 WYNFORD DR, #106",TORONTO,,
103,6IX TAXI,TAXICAB BROKER,2017-03-15,"40 WYNFORD DR, #106",TORONTO,,
104,UBER CANADA,TAXICAB BROKER,2019-05-02,"121 BLOOR ST E, #1600",TORONTO,,
105,TORONTO 1 TAXI,TAXICAB BROKER,2020-08-27,"1940 ELLESMERE RD, #18",TORONTO,,
106,"SITHAMPARAPILLAI, SIVAKUMAR",TAXICAB BROKER,2021-04-06,"1181 FINCH AVE W, #207",TORONTO,,
107,EGO,TAXICAB BROKER,2019-09-17,"399 ADELAIDE ST W, #301",TORONTO,,
108,CROWN TAXI,TAXICAB BROKER,2013-10-21,130 RIVALDA RD,TORONTO,,
109,AAA BEST CHOICE TAXI,TAXICAB BROKER,2021-10-25,34 KELFIELD ST,TORONTO,43.6880429977091,-79.5761038269524
110,A-1 GTA CAB,TAXICAB BROKER,2023-03-28,17228 HWY 50,,,
111,TP24,TAXICAB BROKER,2023-03-15,"1181 FINCH AVE W, #207",TORONTO,,
112,6IX TAXI,TAXICAB BROKER,2022-04-12,"40 WYNFORD DR, #106",TORONTO,,
113,CO-OP CABS,TAXICAB BROKER,2057-01-01,130 RIVALDA RD,TORONTO,,
114,SCARBOROUGH CITY CAB,TAXICAB BROKER,2001-03-06,"1940 ELLESMERE RD, #18",TORONTO,,
115,A4U,TAXICAB BROKER,2003-04-22,"2238 DUNDAS ST W, #218",TORONTO,,
116,CITY TAXI,TAXICAB BROKER,2003-10-01,"130 WESTMORE DR, #219",TORONTO,,
117,BECK TAXI,TAXICAB BROKER,2008-01-28,1 CREDIT UNION DR,TORONTO,,
118,PRESTIGE TAXI SERVICES,TAXICAB BROKER,2013-06-05,58 CLAREMONT LANE,,,
119,CHECKER TAXI,TAXICAB BROKER,2014-05-15,"8000 JANE ST, #302 B",,,
120,ROYAL TAXI,TAXICAB BROKER,2018-03-05,130 RIVALDA RD,TORONTO,,
121,IMPERIAL TAXI,TAXICAB BROKER,2019-06-20,"40 WYNFORD DR, #106",TORONTO,,
122,MAPLE LEAF TAXI-CAB,TAXICAB BROKER,2019-06-20,"40 WYNFORD DR, #106",TORONTO,,
123,DIAMOND TAXICAB DISPATCH SERVICES,TAXICAB BROKER,2019-12-20,"95 EDDYSTONE AVE, #2",TORONTO,,
124,PREMIER TAXI SERVICES,TAXICAB BROKER,2022-01-27,"1092 DANFORTH AVE, #6",TORONTO,,
125,ABLE ATLANTIC TAXI / BEELINE TAXI,TAXICAB BROKER,2022-01-11,"40 WYNFORD DR, #106",TORONTO,,
126,TORONTO 1 TAXI,TAXICAB BROKER,2022-11-19,"1940 ELLESMERE RD, #18",TORONTO,,
127,CROWN TAXI,TAXICAB BROKER,2023-05-30,130 RIVALDA RD,TORONTO,,
128,UNLIMITED TAXI AND LIMO GROUP,TAXICAB BROKER,2023-09-13,"44 FASKEN DR, #1F",TORONTO,,
129,UBER CANADA,TAXICAB BROKER,2023-11-04,"121 BLOOR ST E, #1600",TORONTO,,
130,A-1 GTA CAB,TAXICAB BROKER,2024-08-24,17228 HWY 50,,,
131,LEFT TURN ADV.,TAXICAB BROKER,2025-06-17,341 ALEX DONER DR,,,
132,DILLIGAF SERVICES LTD,LIMOUSINE SERVICE COMPANY,2005-11-18,"3687 NASHUA DR, #12",MISSISSAUGA,,
133,METRO LIMOUSINES,LIMOUSINE SERVICE COMPANY,2006-07-18,7277 ROSEHURST DR,MISSISSAUGA,,
134,PRESTIGE LIMOUSINE INC,LIMOUSINE SERVICE COMPANY,2005-10-14,"2700 DUFFERIN ST, #44",TORONTO,,
135,LIM 4 U INC,LIMOUSINE SERVICE COMPANY,2005-11-08,800 GENOVESE PL,MISSISSAUGA,,
136,GENUINE LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-03-20,54 ROSEMOUNT AVE,,,
137,A B C WESTIN LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-03-24,"49 THORNCLIFFE PARK DR, #1018",TORONTO,,
138,,LIMOUSINE SERVICE COMPANY,2006-06-29,112 BALDWIN ST,TORONTO,43.6551773404315,-79.3974977621323
139,FLIGHT-TIME-LIMOUSINE-SERVICE,LIMOUSINE SERVICE COMPANY,2006-07-21,26 COLLINGDALE RD,TORONTO,43.729915072102884,-79.58271506417209
140,,LIMOUSINE SERVICE COMPANY,2006-09-14,"4300 STEELES AVE W, #31",,,
141,NORTH-AMERICAN LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2006-11-03,29 KEYWORTH TRAIL,TORONTO,,
142,CANADA LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-09-05,"1370 DON MILLS RD, #300",TORONTO,,
143,ERIN MILLS LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-10-19,"2155 LEANNE BLVD, #109",MISSISSAUGA,,
144,AEROFLIGHT LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2007-02-16,5016 OSCAR PETERSON BLVD,MISSISSAUGA,,
145,KING TOURS & LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-02-21,584 FOUR WINDS WAY,MISSISSAUGA,,
146,BETTER KIND LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-02-22,"1585 BRITANNIA RD E, A8",MISSISSAUGA,,
147,AVANGARDE LIVERY NETWORK,LIMOUSINE SERVICE COMPANY,2006-08-09,1057 MARTIN GROVE RD,TORONTO,,
148,,LIMOUSINE SERVICE COMPANY,2007-08-20,800 GENOVESE PL,MISSISSAUGA,,
149,MOELIMO LIMOUSINE LIVERY SERVICE,LIMOUSINE SERVICE COMPANY,2005-10-31,"48 GALAXY BLVD, #404",TORONTO,,
150,RICHMOND LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2006-01-23,62 LUCIEN ST,MARKHAM,,
151,TORONTO TOWNCAR,LIMOUSINE SERVICE COMPANY,2006-01-27,"50 KINGSBRIDGE GARDEN CIR, #812",MISSISSAUGA,,
152,,LIMOUSINE SERVICE COMPANY,2007-09-27,211 SILVERCREEK PKY S,,,
153,MYLIMO.CA,LIMOUSINE SERVICE COMPANY,2005-12-23,7210 TRANMERE DR,MISSISSAUGA,,
154,,LIMOUSINE SERVICE COMPANY,2006-03-31,456 GALEDOWNS CRT,MISSISSAUGA,,
155,FLIGHT-TIME-LIMOUSINE-SERVICE,LIMOUSINE SERVICE COMPANY,2008-01-22,26 COLLINGDALE RD,TORONTO,43.729915072102884,-79.58271506417209
156,ATLAS LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2006-03-09,1094 WINDBROOK GROVE,MISSISSAUGA,,
157,,LIMOUSINE SERVICE COMPANY,2008-03-19,"1530 DREW RD, #18",MISSISSAUGA,,
158,PRIME LINE TOURS,LIMOUSINE SERVICE COMPANY,2006-04-18,"17 LANBROOKE AVE, BSMT",TORONTO,,
159,CITY WIDE LIVERY,LIMOUSINE SERVICE COMPANY,2006-04-04,"747 DON MILLS RD, #209A",TORONTO,,
160,,LIMOUSINE SERVICE COMPANY,2007-02-01,7355 ALDERGROVE CRT,MISSISSAUGA,,
161,GENUINE LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2008-04-24,"30 HARDING BLVD W, #901",RICHMOND HILL,,
162,LIBERTY LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-03-23,176 PLEASANT VIEW DR,TORONTO,,
163,,LIMOUSINE SERVICE COMPANY,2006-06-19,"250 JARVIS ST, #303",TORONTO,,
164,,LIMOUSINE SERVICE COMPANY,2007-06-26,"1415 BONHILL RD, #12-13",MISSISSAUGA,,
165,,LIMOUSINE SERVICE COMPANY,2006-04-27,5995 BELL HARBOUR DR,MISSISSAUGA,,
166,BLACK CAR LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2007-07-16,77 FORECASTLE RD,,,
167,,LIMOUSINE SERVICE COMPANY,2006-09-01,38 VAN HOOF CRES,,,
168,GREATLAKES LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2008-09-03,523 CANDLESTICK CIRCLE,MISSISSAUGA,,
169,DYNASTY LIMOUSINE LTD,LIMOUSINE SERVICE COMPANY,2006-10-10,"1750 BRIMLEY RD, #209",TORONTO,,
170,,LIMOUSINE SERVICE COMPANY,2006-05-01,63 PHILLIP AVE,TORONTO,,
171,PERSONELLE LIMOUSINE,LIMOUSINE SERVICE COMPANY,2005-11-04,476 EVANS AVE,TORONTO,43.6135254169584,-79.5363520960038
172,SKY LIMO,LIMOUSINE SERVICE COMPANY,2007-11-12,90 LETTY AVE,,,
173,OZZIE'S EXECUTIVE LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-01-06,69 WOODCOCK AVE,,,
174,AIRLIFT LIMOUSINE SERVICE LTD,LIMOUSINE SERVICE COMPANY,2006-02-24,"9040 LESLIE ST, #212",RICHMOND HILL,,
175,OLYMPIC LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-12-04,"1 KING ST W, MAIN FLR",TORONTO,,
176,CAMERON TRANSPORTATION SERVICES,LIMOUSINE SERVICE COMPANY,2006-12-05,46 LEACREST ST,,,
177,,LIMOUSINE SERVICE COMPANY,2006-04-06,143 VAUGHAN MILLS RD,VAUGHAN,,
178,CAMPBELL LIMOUSINE,LIMOUSINE SERVICE COMPANY,2008-09-22,12621 HIGHWAY 50,,,
179,APAX LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2006-05-17,57 ADVANCE RD,TORONTO,,
180,BKSP TAXI SERVICE,LIMOUSINE SERVICE COMPANY,2006-05-26,31 DONALDSON DR,,,
181,NORTH-AMERICAN LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2008-09-08,29 KEYWORTH TRAIL,TORONTO,,
182,ATLANTIS LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-10-12,3321 MAINSAIL CRES,MISSISSAUGA,,
183,GLEN MANOR LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-05-25,1032 ROYAL YORK RD,TORONTO,,
184,EMERALD CORPORATE LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2005-11-29,"375 DANFORTH RD, #1",TORONTO,,
185,TORONTO LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-10-23,"5 PARAGON RD, BSMT",TORONTO,,
186,SSLIMO INC,LIMOUSINE SERVICE COMPANY,2008-12-08,6227 NETHERHART RD,MISSISSAUGA,,
187,HA LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2007-02-22,35 FALSTAFF AVE,TORONTO,,
188,ABBA LIMOUSINE,LIMOUSINE SERVICE COMPANY,2005-12-30,426 FAITH DR,MISSISSAUGA,,
189,AMADEUS LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2007-02-08,55 EVANS AVE,TORONTO,43.620392501271986,-79.50311976576353
190,BLUESTAR LIMOUSINE,LIMOUSINE SERVICE COMPANY,2007-03-21,7277 ROSEHURST DR,MISSISSAUGA,,
191,D M LIMO,LIMOUSINE SERVICE COMPANY,2006-03-24,37 OLDBOROUGH CIR,TORONTO,,
192,A B STRETCH LIMOUSINE SERVICES INC,LIMOUSINE SERVICE COMPANY,2006-04-04,70 OAKDALE RD,,,
193,BLACK CAR LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2009-12-31,77 FORECASTLE RD,,,
194,SYED LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-05-24,5 AMBER CRES,TORONTO,43.71966606805335,-79.4833093818185
195,TORONTO TOURS LIMOUSINE COMPANY,LIMOUSINE SERVICE COMPANY,2006-05-29,257 LAKE SHORE BLVD E,TORONTO,,
196,ATTACHE LIMOUSINE,LIMOUSINE SERVICE COMPANY,2010-07-08,12621 HIGHWAY 50,,,
197,OLYMPIC LIMOUSINE LTD,LIMOUSINE SERVICE COMPANY,2010-07-15,"1 KING ST W, MAIN FLR",TORONTO,,
198,JAGR LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2006-09-21,"31 MELANIE DR, #11",,,
199,PARKVIEW LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2006-07-27,5220 BROOKWOOD CRT,MISSISSAUGA,,
200,5 STAR LIMOUSINE SERVICE TORONTO,LIMOUSINE SERVICE COMPANY,2008-10-21,118 FEATHERSTONE AVE,MARKHAM,,
201,MASON ISMAIL HOXHA,LIMOUSINE SERVICE COMPANY,2006-05-04,916 ELMDALE CRES,,,
202,TORONTO UNITED LIMO,LIMOUSINE SERVICE COMPANY,2010-08-17,63 PHILLIP AVE,TORONTO,,
203,A-R LINE LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-10-16,3461 CHIPLEY CRES,MISSISSAUGA,,
204,AAA FRIENDLY LIMO SERVICE,LIMOUSINE SERVICE COMPANY,2007-02-15,18 FALLWAY RD,,,
205,AEROFLIGHT LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2009-11-06,5016 OSCAR PETERSON BLVD,MISSISSAUGA,,
206,NETWORK EXECUTIVE LIMOUSINE,LIMOUSINE SERVICE COMPANY,2005-11-17,107 OAKHURST DR,,,
207,LS LIMOUSINES,LIMOUSINE SERVICE COMPANY,2006-03-28,271 FRONT ST E,TORONTO,,
208,SUPERIOR LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-01-27,2227 DIXIE RD,MISSISSAUGA,,
209,BUSINESS CLASS LIMOUSINE,LIMOUSINE SERVICE COMPANY,2006-03-06,187 RANDI RD,MISSISSAUGA,,
210,ATLANTIS LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2011-02-07,3321 MAINSAIL CRES,MISSISSAUGA,,
211,AAA EXECUTIVE LIMOUSINE & LIVERY SERVICE,LIMOUSINE SERVICE COMPANY,2009-02-19,77 TAHIR ST,,,
212,KING TOURS & LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2007-02-28,584 FOUR WINDS WAY,MISSISSAUGA,,
213,TAXI LIMO & CURIER(TLC),LIMOUSINE SERVICE COMPANY,2010-04-22,1714 WHITESTONE DR,,,
214,FLIGHT TIME LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2009-05-27,26 COLLINGDALE RD,TORONTO,43.729915072102884,-79.58271506417209
215,PARK LANE LIMOUSINE SERVICES INC,LIMOUSINE SERVICE COMPANY,2005-12-22,"22 METROPOLITAN RD, #1191-3-5-7",TORONTO,,
216,CONSTELLATION EXECUTIVE SERVICES,LIMOUSINE SERVICE COMPANY,2007-07-12,"199 HILLCREST AVE, #30",MISSISSAUGA,,
217,GRAYSTONE LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2006-07-27,"443 DANFORTH AVE, #1",TORONTO,,
218,PRESTIGE LIMOUSINE,LIMOUSINE SERVICE COMPANY,2008-03-05,"2700 DUFFERIN ST, #44",TORONTO,,
219,COSMOPOLITAN LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2007-03-15,5 PRINCESS ST,TORONTO,,
220,ERIN MILLS LIMOUSINE SERVICE,LIMOUSINE SERVICE COMPANY,2008-10-08,"2155 LEANNE BLVD, #109",MISSISSAUGA,,
221,GURSAHIB TRANSPORT INC,LIMOUSINE SERVICE COMPANY,2011-11-17,13 JAY ST,,,
222,A B STRETCH LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2012-05-09,70 OAKDALE RD,,,
223,RICHMOND LIMOUSINE SERVICES INC,LIMOUSINE SERVICE COMPANY,2009-02-06,"270 WELLINGTON ST W, #316",TORONTO,,
224,SUPER-QUICK TAXI INC,LIMOUSINE SERVICE COMPANY,2006-03-02,4590 BISMARK CRES,MISSISSAUGA,,
225,EMERALD CORPORATE LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2011-05-13,"375 DANFORTH RD, #1",TORONTO,,
226,AIR ROYAL LIMOUSINE SERVICES,LIMOUSINE SERVICE COMPANY,2006-03-27,"31 MELANIE DR, #11",,,
227,LIMO 9,LIMOUSINE SERVICE COMPANY,2010-07-08,80 QUEEN ELIZABETH BLVD,TORONTO,,
